ordertime,orderid,itemid,itemName,orderunits,address.city,address.state,address.zipcode
1627544107382,10000001,SKU_101,Wireless Mouse,2.0,Springfield,CA,90210
1627544207382,10000002,SKU_102,Bluetooth Keyboard,1.0,Riverside,TX,77001
1627544307382,10000003,SKU_103,USB-C Charger,3.0,Lakeview,FL,33101
1627544407382,10000004,SKU_104,Laptop Stand,1.0,Mapleton,NY,10001
1627544507382,10000005,SKU_105,Noise Cancelling Headphones,2.0,Brookfield,IL,60601
1627544607382,10000006,SKU_106,Webcam,1.0,Fairview,WA,98001
1627544707382,10000007,SKU_107,Portable SSD,1.0,Hillcrest,CO,80014
1627544807382,10000008,SKU_108,"Monitor 27""",2.0,Oakwood,GA,30566
1627544907382,10000009,SKU_109,Mechanical Keyboard,1.0,Cedarville,OH,45314
1627545007382,10000010,SKU_110,Ergonomic Chair,1.0,Greenfield,MA,01301
1627545107382,10000011,SKU_111,Desk Lamp,2.0,Summerville,SC,29483
1627545207382,10000012,SKU_112,Smart Speaker,1.0,Westfield,IN,46074
1627545307382,10000013,SKU_113,Wireless Earbuds,3.0,Kingsport,TN,37660
1627545407382,10000014,SKU_114,Tablet Stand,1.0,Rockville,MD,20850
1627545507382,10000015,SKU_115,USB Hub,2.0,Centerville,UT,84014
1627545607382,10000016,SKU_116,Laptop Sleeve,1.0,Plainfield,NJ,07060
1627545707382,10000017,SKU_117,Wireless Router,1.0,Ridgewood,NJ,07450
1627545807382,10000018,SKU_118,Smartwatch,2.0,Elmwood,WI,54740
1627545907382,10000019,SKU_119,Fitness Tracker,1.0,Fairfield,CA,94533
1627546007382,10000020,SKU_120,External Hard Drive,2.0,Roseville,MN,55113
